V1,V2,V3,V4,V5,V6,V7
0.044,0.112,0.088,0.244,0.066,0.156,0.022
0.066,0.1,0.134,0.266,0.066,0.266,0.066
0.134,0.134,0.166,0.234,0.134,0.134,0.1
0.128,0.072,0.218,0.254,0.11,0.2,0.11
0.088,0.044,0.088,0.266,0.066,0.2,0.066
0.046,0,0.046,0.216,0.076,0.154,0.046
0.072,0,0.018,0.272,0.054,0.146,0.036
0.044,0,0.044,0.288,0.066,0.134,0.088
0.05,0,0,0.2,0.1,0.076,0.076
0.028,0,0.058,0.258,0.114,0.086,0.058
0.076,0,0.05,0.276,0.1,0.076,0.076
0.086,0,0.058,0.258,0.114,0.086,0.058
0.15,0,0.05,0.2,0.2,0.15,0.1
0.126,0.026,0.076,0.176,0.15,0.176,0.05
0.142,0.058,0.086,0.258,0.172,0.2,0.058
0.066,0.05,0.066,0.25,0.134,0.166,0.034
0.09,0.09,0.072,0.29,0.128,0.164,0.036
0.08,0.16,0.18,0.32,0.14,0.12,0
0.084,0.15,0.134,0.316,0.184,0.184,0.066
0.114,0.114,0.128,0.314,0.128,0.128,0.042
0.166,0.166,0.266,0.234,0.166,0.1,0.066
0.1,0.1,0.126,0.35,0.1,0.15,0.05
0.18,0.16,0.18,0.28,0.12,0.1,0.16
0.164,0.2,0.236,0.236,0.09,0.072,0.09
0.134,0.244,0.2,0.288,0.134,0.066,0.088
0.134,0.222,0.178,0.312,0.112,0.066,0.134
0.142,0.228,0.142,0.314,0.142,0.058,0.114
0.1,0.25,0.1,0.3,0.1,0.05,0.1
0.12,0.24,0.16,0.2,0.16,0.04,0.08
0.16,0.28,0.16,0.2,0.04,0.08,0.16
0.2,0.3,0.2,0.3,0,0.2,0.2
0.1,0.1,0.1,0.2,0.1,0.05,0.05
0.134,0.2,0.134,0.2,0.134,0.066,0.066
0,0,0,0.2,0.1,0,0.1
0,0,0,0.2,0,0,0.2
0,0,0,0,0.066,0,0
0,0,0,0.066,0,0.066,0
0,0.034,0,0.134,0,0.034,0.034
0,0,0,0.16,0,0,0.04
0,0,0,0.16,0,0,0.04
0,0,0.04,0.24,0,0.12,0
0.026,0.076,0.1,0.25,0.05,0.2,0.026
0.036,0.018,0.036,0.236,0.054,0.128,0.036
0,0.026,0.026,0.25,0,0.1,0
0.02,0.02,0.0266,0.05,0.0266,0.0334,0.02
0.022,0.022,0.02,0.044,0.02,0.024,0.022
0.022,0.026,0.022,0.042,0.024,0.024,0.022
0.02,0.025,0.025,0.05,0.03,0.03,0.02
0.0228,0.0258,0.0258,0.0428,0.0258,0.0258,0.02
0.02,0.024,0.024,0.044,0.028,0.028,0.02
0.02,0.0228,0.0228,0.0428,0.0258,0.0258,0.02
0.02,0.024,0.024,0.048,0.028,0.028,0.02
0.02,0.024,0.024,0.048,0.028,0.028,0.02
0.025,0.03,0.0276,0.0476,0.03,0.0326,0.0226
0.0258,0.0342,0.0258,0.0458,0.0314,0.0286,0.0228
0.0244,0.0378,0.0312,0.0466,0.0288,0.0288,0.0222
0.03,0.0376,0.0326,0.0476,0.0376,0.0326,0.0276
0.0258,0.04,0.0314,0.0486,0.0342,0.0286,0.0258
0.0258,0.0372,0.0314,0.0428,0.0314,0.0286,0.0228
0.02,0.03,0.03,0.04,0.03,0.02,0.03
0.035,0.04,0.035,0.05,0.04,0.025,0.035
0.02,0.0266,0.0266,0.04,0.0266,0.02,0.02
0.02,0.03,0.03,0.04,0.03,0.02,0.02
0.0266,0.0334,0.0334,0.0334,0.0334,0.0266,0.0266
0.02,0.03,0.035,0.04,0.025,0.02,0.025
0.02,0.0334,0.04,0.04,0.0266,0.02,0.0266
0.024,0.028,0.028,0.048,0.024,0.024,0.028
0.02,0.025,0.025,0.04,0.025,0.02,0.02
