Year,Bankrupt
2002-03-01,0.0100677474
2002-06-01,0.009535435
2002-09-01,0.0089483104
2002-12-01,0.0083360076
2003-03-01,0.0077212766
2003-06-01,0.0071057933
2003-09-01,0.0065260088
2003-12-01,0.0060100069
2004-03-01,0.0055733302
2004-06-01,0.0052203769
2004-09-01,0.0049060366
2004-12-01,0.0045693558
2005-03-01,0.0041492792
2005-06-01,0.0035937808
2005-09-01,0.002981259
2005-12-01,0.0024159534
2006-03-01,0.0019952993
2006-06-01,0.0017699946
2006-09-01,0.0016543921
2006-12-01,0.0015504689
2007-03-01,0.0015090637
2007-06-01,0.0015760021
2007-09-01,0.0016231404
2007-12-01,0.0015611008
2008-03-01,0.0016318103
2008-06-01,0.0020694624
2008-09-01,0.0027167712
2008-12-01,0.003320872
2009-03-01,0.0036815757
2009-06-01,0.0036797646
2009-09-01,0.0034561434
2009-12-01,0.0032010053
2010-03-01,0.0029594159
2010-06-01,0.0027354145
2010-09-01,0.0025547646
2010-12-01,0.0024257516
2011-03-01,0.0022954072
2011-06-01,0.0021168338
2011-09-01,0.0019505293
2011-12-01,0.0018602441
2012-03-01,0.0018268413
2012-06-01,0.0018197703
2012-09-01,0.0018331841
2012-12-01,0.0018581842
2013-03-01,0.0018538003
2013-06-01,0.0017746971
2013-09-01,0.0015966108
2013-12-01,0.0013325405
2014-03-01,0.0011024648
2014-06-01,0.0010023017
2014-09-01,0.0009623649
2014-12-01,0.0009034919
2015-03-01,0.0009078703
2015-06-01,0.0010513576
2015-09-01,0.0012106499
2015-12-01,0.0012527236
2016-03-01,0.0012119228
2016-06-01,0.0011605929
2016-09-01,0.0011739694
