DATE,JPNNGDP
1/1/1994,500942.4
4/1/1994,498475.5
7/1/1994,504386.2
10/1/1994,502223.3
1/1/1995,504977.1
4/1/1995,510322.9
7/1/1995,516621.2
10/1/1995,517837.5
1/1/1996,521422.9
4/1/1996,526223
7/1/1996,525384
10/1/1996,530700.5
1/1/1997,533117.8
4/1/1997,532956.3
7/1/1997,534955
10/1/1997,536602.3
1/1/1998,528880.4
4/1/1998,525893.7
7/1/1998,525139
10/1/1998,531481.2
1/1/1999,520495.3
4/1/1999,521131.5
7/1/1999,520065.6
10/1/1999,519205.3
1/1/2000,527303.6
4/1/2000,526649.2
7/1/2000,525563.6
10/1/2000,528896.3
1/1/2001,533030.4
4/1/2001,525900.7
7/1/2001,518262
10/1/2001,515904.1
1/1/2002,516631
4/1/2002,515542.8
7/1/2002,515789.2
10/1/2002,516431.8
1/1/2003,511388.4
4/1/2003,516169.3
7/1/2003,516559.6
10/1/2003,518397.9
1/1/2004,521847.4
4/1/2004,520002.5
7/1/2004,521911.8
10/1/2004,520535.8
1/1/2005,520910.9
4/1/2005,523401.9
7/1/2005,526423.2
10/1/2005,526456
1/1/2006,525542.8
4/1/2006,526548.9
7/1/2006,524661.8
10/1/2006,530758.6
1/1/2007,533944.4
4/1/2007,533699.1
7/1/2007,529505.9
10/1/2007,529545.6
1/1/2008,530509
4/1/2008,526029
7/1/2008,515725.2
10/1/2008,510780.9
1/1/2009,486524.8
4/1/2009,492087.8
7/1/2009,487883.5
10/1/2009,491582.5
1/1/2010,496764
4/1/2010,499552.4
7/1/2010,505485.6
10/1/2010,500240.3
1/1/2011,491887
4/1/2011,485366.5
7/1/2011,494996.9
10/1/2011,494393.6
1/1/2012,500230
4/1/2012,495226.5
7/1/2012,492468.6
10/1/2012,492866.9
1/1/2013,498095
4/1/2013,502639
7/1/2013,506862.2
10/1/2013,506333.1
1/1/2014,512199.9
4/1/2014,512621.1
7/1/2014,512279.9
10/1/2014,517311.2
1/1/2015,528220.4
4/1/2015,529894.9
7/1/2015,532480.5
10/1/2015,531403.6
1/1/2016,535004.6
4/1/2016,536914
7/1/2016,537622.4
