DATE,JPNNGDP
1994-01-01,499709.0
1994-07-01,503304.8
1995-01-01,507650.0
1995-07-01,517229.4
1996-01-01,523823.0
1996-07-01,528042.3
1997-01-01,533037.1
1997-07-01,535778.7
1998-01-01,527387.1
1998-07-01,528310.1
1999-01-01,520813.4
1999-07-01,519635.5
2000-01-01,526976.4
2000-07-01,527230.0
2001-01-01,529465.6
2001-07-01,517083.1
2002-01-01,516086.9
2002-07-01,516110.5
2003-01-01,513778.9
2003-07-01,517478.8
2004-01-01,520925.0
2004-07-01,521223.8
2005-01-01,522156.4
2005-07-01,526439.6
2006-01-01,526045.9
2006-07-01,527710.2
2007-01-01,533821.8
2007-07-01,529525.8
2008-01-01,528269.0
2008-07-01,513253.1
2009-01-01,489306.3
2009-07-01,489733.0
2010-01-01,498158.2
2010-07-01,502863.0
2011-01-01,488626.8
2011-07-01,494695.3
2012-01-01,497728.3
2012-07-01,492667.8
2013-01-01,500367.0
2013-07-01,506597.7
2014-01-01,512410.5
2014-07-01,514795.6
2015-01-01,529057.7
2015-07-01,531942.1
2016-01-01,535959.3
2016-07-01,538677.8
