date,EBP,EBP PerChange,EBP Change
1973-01,-0.044066667,,
1973-04,-0.0746,0.692889561,-0.030533333
1973-07,-0.314966667,3.22207328,-0.240366667
1973-10,0.027666667,-1.087839983,0.342633334
1974-01,-0.024266667,-1.877108434,-0.051933334
1974-04,0.210166667,-9.660714286,0.234433334
1974-07,0.830533333,2.951784298,0.620366666
1974-10,0.882,0.061968213,0.051466667
1975-01,0.396366667,-0.550604686,-0.485633333
1975-04,0.210333333,-0.469346565,-0.186033334
1975-07,0.2683,0.275594295,0.057966667
1975-10,0.041666667,-0.844701205,-0.226633333
1976-01,-0.089333333,-3.144,-0.131
1976-04,-0.061866667,-0.307462687,0.027466666
1976-07,-0.1216,0.965517241,-0.059733333
1976-10,-0.141933333,0.167214912,-0.020333333
1977-01,-0.1974,0.3907938,-0.055466667
1977-04,-0.221433333,0.121749409,-0.024033333
1977-07,-0.147433333,-0.334186362,0.074
1977-10,-0.1996,0.353832241,-0.052166667
1978-01,-0.339333333,0.7000668,-0.139733333
1978-04,-0.330833333,-0.025049116,0.0085
1978-07,-0.359866667,0.087758186,-0.029033334
1978-10,-0.413766667,0.149777695,-0.0539
1979-01,-0.276233333,-0.332393458,0.137533334
1979-04,-0.242366667,-0.122601665,0.033866666
1979-07,-0.259,0.068628799,-0.016633333
1979-10,-0.3007,0.161003861,-0.0417
1980-01,-0.109,-0.637512471,0.1917
1980-04,-0.214866667,0.971253823,-0.105866667
1980-07,0.015666667,-1.072913435,0.230533334
1980-10,0.0339,1.163829787,0.018233333
1981-01,0.149,3.395280236,0.1151
1981-04,0.430166667,1.887024609,0.281166667
1981-07,0.366766667,-0.147384735,-0.0634
1981-10,0.483033333,0.317004453,0.116266666
1982-01,0.767133333,0.588158167,0.2841
1982-04,0.767466667,0.000434518,0.000333334
1982-07,0.4312,-0.438151494,-0.336266667
1982-10,0.513233333,0.19024428,0.082033333
1983-01,0.311833333,-0.392414107,-0.2014
1983-04,0.046433333,-0.851095671,-0.2654
1983-07,-0.102933333,-3.216798277,-0.149366666
1983-10,0.0434,-1.421632124,0.146333333
1984-01,0.018133333,-0.58218126,-0.025266667
1984-04,-0.053033333,-3.924632353,-0.071166666
1984-07,0.0121,-1.228158391,0.065133333
1984-10,-0.122233333,-11.10192837,-0.134333333
1985-01,-0.034933333,-0.714207799,0.0873
1985-04,-0.0308,-0.118320611,0.004133333
1985-07,0.160633333,-6.215367965,0.191433333
1985-10,0.18,0.120564432,0.019366667
1986-01,0.177566667,-0.013518519,-0.002433333
1986-04,0.159366667,-0.102496715,-0.0182
1986-07,0.5203,2.264798159,0.360933333
1986-10,0.557433333,0.071369082,0.037133333
1987-01,0.435166667,-0.219338635,-0.122266666
1987-04,-0.085466667,-1.196399847,-0.520633334
1987-07,0.227833333,-3.66575663,0.3133
1987-10,-0.335766667,-2.473738113,-0.5636
1988-01,-0.1753,-0.477911248,0.160466667
1988-04,-0.037933333,-0.783609051,0.137366667
1988-07,-0.0994,1.620386643,-0.061466667
1988-10,0.153366667,-2.542924212,0.252766667
1989-01,0.2091,0.363399261,0.055733333
1989-04,0.401266667,0.919018014,0.192166667
1989-07,0.519233333,0.293985712,0.117966666
1989-10,0.538633333,0.037362778,0.0194
1990-01,0.336166667,-0.375889597,-0.202466666
1990-04,0.076133333,-0.773525037,-0.260033334
1990-07,0.015966667,-0.79028021,-0.060166666
1990-10,0.316166667,18.80167015,0.3002
1991-01,0.316233333,0.000210859,6.6666E-05
1991-04,0.1587,-0.498155371,-0.157533333
1991-07,0.170366667,0.073513968,0.011666667
1991-10,0.180166667,0.05752299,0.0098
1992-01,0.087733333,-0.513043478,-0.092433334
1992-04,0.034166667,-0.61056231,-0.053566666
1992-07,0.0863,1.525853659,0.052133333
1992-10,0.127333333,0.475473156,0.041033333
1993-01,0.089133333,-0.3,-0.0382
1993-04,0.033866667,-0.620044877,-0.055266666
1993-07,-0.016666667,-1.492125984,-0.050533334
1993-10,-0.0922,4.532,-0.075533333
1994-01,-0.315766667,2.424801157,-0.223566667
1994-04,-0.2946,-0.067032619,0.021166667
1994-07,-0.312733333,0.061552387,-0.018133333
1994-10,-0.242233333,-0.225431678,0.0705
1995-01,-0.2618,0.080776111,-0.019566667
1995-04,-0.229633333,-0.122867329,0.032166667
1995-07,-0.223933333,-0.02482218,0.0057
1995-10,-0.069333333,-0.690384043,0.1546
1996-01,-0.2548,2.675,-0.185466667
1996-04,-0.2951,0.158163265,-0.0403
1996-07,-0.371233333,0.257991641,-0.076133333
1996-10,-0.344133333,-0.07299991,0.0271
1997-01,-0.412433333,0.198469585,-0.0683
1997-04,-0.454266667,0.101430534,-0.041833334
1997-07,-0.5079,0.118065747,-0.053633333
1997-10,-0.370233333,-0.271050732,0.137666667
1998-01,-0.340533333,-0.080219681,0.0297
1998-04,-0.408033333,0.198218481,-0.0675
1998-07,-0.0898,-0.779919941,0.318233333
1998-10,0.104033333,-2.158500371,0.193833333
1999-01,-0.131366667,-2.262736302,-0.2354
1999-04,-0.2185,0.663283431,-0.087133333
1999-07,-0.057066667,-0.738825324,0.161433333
1999-10,-0.0432,-0.242990654,0.013866667
2000-01,0.084766667,-2.962191358,0.127966667
2000-04,0.564466667,5.659064098,0.4797
2000-07,0.865966667,0.534132514,0.3015
2000-10,1.421766667,0.64182609,0.5558
2001-01,1.0419,-0.267179331,-0.379866667
2001-04,0.805166667,-0.227213104,-0.236733333
2001-07,0.811433333,0.007783068,0.006266666
2001-10,0.322966667,-0.601980035,-0.488466666
2002-01,0.4621,0.430797812,0.139133333
2002-04,0.552066667,0.194690904,0.089966667
2002-07,1.432633333,1.595036831,0.880566666
2002-10,1.033,-0.278950185,-0.399633333
2003-01,0.460566667,-0.554146499,-0.572433333
2003-04,-0.384466667,-1.834768763,-0.845033334
2003-07,-0.687833333,0.789058436,-0.303366666
2003-10,-0.548866667,-0.202035377,0.138966666
2004-01,-0.542266667,-0.012024778,0.0066
2004-04,-0.5122,-0.055446275,0.030066667
2004-07,-0.456766667,-0.108225953,0.055433333
2004-10,-0.668566667,0.463694082,-0.2118
2005-01,-0.831833333,0.244204019,-0.163266666
2005-04,-0.5065,-0.391103987,0.325333333
2005-07,-0.648566667,0.280487002,-0.142066667
2005-10,-0.445933333,-0.312432544,0.202633334
2006-01,-0.475166667,0.065555389,-0.029233334
2006-04,-0.479033333,0.008137496,-0.003866666
2006-07,-0.427333333,-0.107925684,0.0517
2006-10,-0.526233333,0.231435257,-0.0989
2007-01,-0.5874,0.116234877,-0.061166667
2007-04,-0.535866667,-0.087731245,0.051533333
2007-07,-0.038866667,-0.92746952,0.497
2007-10,0.1219,-4.136363636,0.160766667
2008-01,0.768966667,5.308176101,0.647066667
2008-04,0.545733333,-0.290303004,-0.223233334
2008-07,1.132166667,1.074578549,0.586433334
2008-10,2.528133333,1.233004564,1.395966666
2009-01,2.401466667,-0.050102843,-0.126666666
2009-04,1.218433333,-0.492629504,-1.183033334
2009-07,-0.062866667,-1.051596312,-1.2813
2009-10,-0.349733333,4.563096501,-0.286866666
2010-01,-0.158233333,-0.547560046,0.1915
2010-04,-0.211833333,0.338740257,-0.0536
2010-07,-0.167633333,-0.208654603,0.0442
2010-10,-0.231333333,0.379996023,-0.0637
2011-01,-0.173233333,-0.251152738,0.0581
2011-04,-0.131233333,-0.242447566,0.042
2011-07,-0.042766667,-0.674117348,0.088466666
2011-10,0.031266667,-1.731098987,0.074033334
2012-01,-0.214066667,-7.846481876,-0.245333334
2012-04,-0.249433333,0.165213329,-0.035366666
2012-07,-0.3358,0.346251503,-0.086366667
2012-10,-0.2733,-0.186122692,0.0625
2013-01,-0.1634,-0.40212221,0.1099
2013-04,-0.432633333,1.647694818,-0.269233333
2013-07,-0.115133333,-0.733877803,0.3175
2013-10,-0.039833333,-0.65402432,0.0753
2014-01,-0.259333333,5.510460251,-0.2195
2014-04,-0.364866667,0.406940874,-0.105533334
2014-07,-0.327133333,-0.103416773,0.037733334
2014-10,-0.118633333,-0.637354799,0.2085
2015-01,-0.321933333,1.713683619,-0.2033
2015-04,-0.0003,-0.99906813,0.321633333
2015-07,0.2773,-925.3333333,0.2776
2015-10,0.435433333,0.570260849,0.158133333
2016-01,0.645266667,0.48189543,0.209833334
2016-04,0.017066667,-0.973550987,-0.6282
2016-07,-0.229466667,-14.4453125,-0.246533334
